service_id,date,exception_type
WNTR11-DBDB1-Weekday-01,20111226,2
WNTR11-DBDB1-Weekday-01,20120102,2
WNTR11-DBDB1-Weekday-01,20120220,2
WNTR11-System-Weekday-00,20111226,2
WNTR11-System-Weekday-00-1111000,20111226,2
WNTR11-System-Weekday-00-1010100,20111226,2
WNTR11-System-Sunday-00,20111226,1
WNTR11-System-Weekday-00,20120102,2
WNTR11-System-Weekday-00-1111000,20120102,2
WNTR11-System-Weekday-00-1010100,20120102,2
WNTR11-System-Sunday-00,20120102,1
WNTR11-System-Weekday-00,20120116,2
WNTR11-System-Weekday-00-1111000,20120116,2
WNTR11-System-Weekday-00-1010100,20120116,2
WNTR11-System-Sunday-00,20120116,1
WNTR11-System-Weekday-00,20120220,2
WNTR11-System-Weekday-00-1111000,20120220,2
WNTR11-System-Weekday-00-1010100,20120220,2
WNTR11-System-Sunday-00,20120220,1
