route_id,route_short_name,route_long_name,route_desc,route_type
1-90,1,"Bayfair Bart- Dtn. Berkeley",,3
1R-90,1R,"Univ/Calif - BYBA",,3
7-90,7,"Del Norte BART - Berkeley BART",,3
11-90,11,"Piedmont - Fruitvale Ave.",,3
12-90,12,"Oxford & Addison - 10 WASHINGTON",,3
14-90,14,"11th Jefferson - Fruitvale Bart",,3
18-90,18,"San Pablo & Marin - Moraga & Mountain",,3
20-90,20,"Fruitvale ave - Alameda - 11th Jefferson",,3
21-90,21,"Fruitvale ave - Alameda - Oakland Airport",,3
22-90,22,"Hayward Bart -South Hayward Bart - Chabot",,3
25-90,25,"El Cerrito BART-Cntr & Shatt-UC Village",,3
26-90,26,"Emeryville/14th Bdwy/lLakeshore",,3
31-90,31,"Alameda Point/ W. Oakland/MACA BART",,3
32-90,32,"Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland",,3
37-90,37,"HWD. BART-WHITMAN-SO. HWD. BART",,3
39-90,39,"Fruitvale Bart - Skyline High School",,3
40-90,40,"Dtn. Oakland - Bayfair Bart",,3
45-90,45,"Eastmont T. C. - Foothill Sq.",,3
46-90,46,"Coliseum Bart - Knowland Zoo",,3
47-90,47,"Fruitvale Bart - Maxwell Park",,3
48-90,48,"Bayfair BART- Castro Valley- Hayward bart",,3
49-90,49,"Rockridge Bart / Dwight S.P.",,3
51A-90,51A,"RockRidge to FBBA",,3
51B-90,51B,"RockRidge - 3RUN",,3
52-90,52,"U.C. Village - U.C. Campus",,3
54-90,54,"Fruitvale BART - Merritt College",,3
57-90,57,"40th San Pablo Ave - Eastmont T.C.- Foothill Sq",,3
58L-90,58L,"Eastmont T.C. - Oakland Amtrak",,3
60-90,60,"CSUEB / HAYWARD BART SHUTTLE",,3
62-90,62,"West  Oakland - Fruitvale Bart",,3
65-90,65,"Spruce St. - Euclid Ave.",,3
67-90,67,"Berkeley Bart - Grizzly Peak Blvd.",,3
68-90,68,"South Hwd. BART-Huntwood-Union Landing",,3
70-90,70,"Richmond Pkwy. TC. - Richmond BART",,3
71-90,71,"Richmond Pkwy TC - El Cerrito Plaza BART",,3
72-90,72,"Richmond - Downtown Oakland",,3
72M-90,72M,"Richmond - Downtown Oakland",,3
72R-90,72R,"San Pablo Rapid BUS",,3
73-90,73,"Eastmont T.C. - Oakland Airport",,3
74-90,74,"CCC/Richmond BART/Ford Pt.",,3
75-90,75,"Bayfair Bart-Washington Manor-S. L. Bart",,3
76-90,76,"Hilltop Mall - CCC - del Norte BART",,3
83-90,83,"Hayward BART - S. Hayward BART",,3
85-90,85,"San Leandro BART - Hayward BART",,3
86-90,86,"Hayward BART - S. Hayward BART",,3
88-90,88,"Berkeley BART - Downtown Oakland",,3
89-90,89,"San Leandro Bart-S. L. Marina-Bayfair Bart",,3
93-90,93,"Hayward Bart-Bayfair Bart-San Lorenzo",,3
94-90,94,"Hayward Bart-Hayward Hills",,3
95-90,95,"Kelly Hill - Hayward BART",,3
97-90,97,"Union City BART - Hesperian Blvd.",,3
98-90,98,"Coliseum Bart - 98th Ave.",,3
99-90,99,"Bayfair Bart - Hwd.BART- UC  Bart - Fmt Bart",,3
210-90,210,"Union Landing - Frmt. Blvd. - Ohlone",,3
212-90,212,"Fremont BART-Newpark Mall-Pacific Commons",,3
215-90,215,"Fremont BART-Mission-Warm Springs-Industrial Area",,3
216-90,216,"U.C. BART- Niles -Fremont BART-Ohlone Newark",,3
217-90,217,"Frmt BART - Mission - Milpitas - Alder",,3
232-90,232,"Fremont BART-U.C. BART-Mission-Ohlone Newark",,3
239-90,239,"Fremont BART-Warm Springs",,3
242-90,242,"Fremont BART-Stevenson-Ohlone New. Mowrry",,3
251-90,251,"Fremont BART-Mowry-Thornton",,3
264-90,264,"U.C. BART-Fremont Blvd.--NewPark Mall-Ohlone New.",,3
275-90,275,"U.C.BART- Thornton- Lido Faire",,3
314-90,314,"Alameda Senior Shuttle",,3
332-90,332,"Frmt. BART - UC BART - N.Park (SS ONLY)",,3
333-90,333,"Evening Flex Route",,3
339-90,339,"Fruitvale Bart - Chabot Observatory",,3
345-90,345,"FREMONT- UC BART-New. Blvd.-Newpark Mall (SS Only)",,3
350-90,350,"Frmt. BART-Pacific Commons- Stevenson (SS Only)",,3
